dataset,dataset_name,context_length,method,method_name,n,primary_metric,primary_score_mean,primary_score_std,accuracy_mean,f1_mean,rouge_l_mean,tracked_gb_mean,budget_gb_mean,peak_vram_gb_mean,n_kept_kv_mean,n_skeleton_mean,n_refresh_mean,n_dropped_mean
longbench_lcc,LCC,32768,budgeted_recent_kv,Budgeted Recent KV,18,accuracy,0.4444444444444444,0.49690399499995325,0.4444444444444444,0.17111630564695698,0.0,0.15746480355555556,0.15749320205555556,54.224076906840004,2402.722222222222,0.0,0.0,13542.833333333334
longbench_lcc,LCC,32768,budgeted_uniform_kv,Budgeted Uniform KV,18,accuracy,0.2777777777777778,0.4479032082388083,0.2777777777777778,0.11474249152092955,0.0,0.15746480355555556,0.15749320205555556,54.224076906840004,2402.722222222222,0.0,0.0,13542.833333333334
longbench_lcc,LCC,32768,duoattention,DuoAttention,18,accuracy,0.2777777777777778,0.4479032082388083,0.2777777777777778,0.13695988056807318,0.0,0.15746480355555556,0.15749320205555556,54.229668299357094,2402.722222222222,0.0,0.0,13542.833333333334
longbench_lcc,LCC,32768,full_kv,Full KV,18,accuracy,0.5,0.5,0.5,0.18688812153808998,0.0,1.045007928888889,0.0,54.224076430002846,0.0,0.0,0.0,0.0
longbench_lcc,LCC,32768,h2o,H2O,18,accuracy,0.2777777777777778,0.4479032082388083,0.2777777777777778,0.09795506651945464,0.0,0.15746480355555556,0.15749320205555556,56.235041565365265,2402.722222222222,0.0,0.0,13542.833333333334
longbench_lcc,LCC,32768,hmo_full,HMO,18,accuracy,0.4444444444444444,0.49690399499995325,0.4444444444444444,0.16630097515187703,0.0,0.15746480355555556,0.15749320205555556,54.419159756766426,2.2222222222222223,28.333333333333332,1.0555555555555556,0.0
longbench_lcc,LCC,32768,pyramidkv_lite,PyramidKV-lite,18,accuracy,0.2222222222222222,0.41573970964154905,0.2222222222222222,0.1151924422510161,0.0,0.15749142755555556,0.15749320205555556,54.224076906840004,2403.222222222222,0.0,0.0,13542.333333333334
longbench_lcc,LCC,32768,quest_lite,Quest-lite,18,accuracy,0.4444444444444444,0.49690399499995325,0.4444444444444444,0.17461783518085083,0.0,0.155123712,0.15749320205555556,54.224076906840004,2367.0,0.0,0.0,13578.555555555555
longbench_lcc,LCC,32768,sagekv_lite,SAGE-KV-lite,18,accuracy,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.11123037510731354,0.0,0.15746480355555556,0.15749320205555556,54.224076906840004,2402.722222222222,0.0,0.0,13542.833333333334
longbench_lcc,LCC,32768,snapkv,SnapKV,18,accuracy,0.4444444444444444,0.49690399499995325,0.4444444444444444,0.17127666684546847,0.0,0.15746480355555556,0.15749320205555556,54.22413653797574,2402.722222222222,0.0,0.0,13542.833333333334
longbench_lcc,LCC,32768,streamingllm,StreamingLLM,18,accuracy,0.4444444444444444,0.49690399499995325,0.4444444444444444,0.17111630564695698,0.0,0.15746480355555556,0.15749320205555556,54.229668299357094,2402.722222222222,0.0,0.0,13542.833333333334
longbench_narrativeqa,NarrativeQA,32768,budgeted_recent_kv,Budgeted Recent KV,50,f1,0.2791061161061161,0.28715729407035856,0.14,0.2791061161061161,0.0,0.20620509184,0.20621872312,55.94257296562195,3146.44,0.0,0.0,19694.8
longbench_narrativeqa,NarrativeQA,32768,budgeted_uniform_kv,Budgeted Uniform KV,50,f1,0.3068215542627307,0.307578932887828,0.2,0.3068215542627307,0.0,0.20620509184,0.20621872312,55.94257296562195,3146.44,0.0,0.0,19694.8
longbench_narrativeqa,NarrativeQA,32768,duoattention,DuoAttention,50,f1,0.29216630428395135,0.3184866081088086,0.16,0.29216630428395135,0.0,0.20620509184,0.20621872312,55.94861932754517,3146.44,0.0,0.0,19694.8
longbench_narrativeqa,NarrativeQA,32768,full_kv,Full KV,50,f1,0.3139782374488257,0.29107642075690604,0.16,0.3139782374488257,0.0,1.49692350464,0.0,55.94257248878479,0.0,0.0,0.0,0.0
longbench_narrativeqa,NarrativeQA,32768,h2o,H2O,50,f1,0.28991481720893486,0.2928884315406074,0.16,0.28991481720893486,0.0,0.20620509184,0.20621872312,58.821534376144406,3146.44,0.0,0.0,19694.8
longbench_narrativeqa,NarrativeQA,32768,hmo_full,HMO,50,f1,0.31616077713136537,0.3144787463179834,0.2,0.31616077713136537,0.0,0.20620509184,0.20621872312,56.172272214889524,2.34,41.4,1.34,0.0
longbench_narrativeqa,NarrativeQA,32768,pyramidkv_lite,PyramidKV-lite,50,f1,0.2934584402525579,0.30520984649664784,0.16,0.2934584402525579,0.0,0.20621787136000003,0.20621872312,55.94257296562195,3146.44,0.0,0.0,19694.8
